#  n                 E_n      E_n s10 [a.u.]      E_n s21 [a.u.]      E_n s45 [a.u.]      E_n s97 [a.u.]     E_n s206 [a.u.]     E_n s440 [a.u.]     E_n s938 [a.u.]    E_n s2000 [a.u.]
  30  -4.178854547683E-1  -4.477327998291E-1  -4.368480073440E-1  -4.172161327932E-1  -4.178904443757E-1  -4.178856248704E-1  -4.178854623637E-1  -4.178854551346E-1  -4.178854547860E-1
  31  -4.086045029711E-1  -4.342052328626E-1  -4.271696047521E-1  -4.079287608969E-1  -4.086090904902E-1  -4.086046573963E-1  -4.086045104817E-1  -4.086045033333E-1  -4.086045029886E-1
  32  -3.994277730108E-1  -4.207633606500E-1  -4.175570046368E-1  -3.987484514737E-1  -3.994319878496E-1  -3.994279204002E-1  -3.994277804365E-1  -3.994277733688E-1  -3.994277730281E-1
  33  -3.903552649094E-1  -4.074094813798E-1  -4.080130614658E-1  -3.896752882166E-1  -3.903590918741E-1  -3.903554033697E-1  -3.903552722503E-1  -3.903552652633E-1  -3.903552649264E-1
  34  -3.813869786898E-1  -3.941460528117E-1  -3.985410715802E-1  -3.807092281245E-1  -3.813903702205E-1  -3.813871155544E-1  -3.813869859459E-1  -3.813869790397E-1  -3.813869787067E-1
  35  -3.725229143759E-1  -3.809757160181E-1  -3.891443927700E-1  -3.718500238824E-1  -3.725258604073E-1  -3.725230547129E-1  -3.725229215472E-1  -3.725229147217E-1  -3.725229143926E-1
  36  -3.637630719920E-1  -3.679013393357E-1  -3.798268773151E-1  -3.630973268027E-1  -3.637656058375E-1  -3.637632153199E-1  -3.637630790785E-1  -3.637630723337E-1  -3.637630720085E-1
  37  -3.551074515632E-1  -3.549260580250E-1  -3.705926242534E-1  -3.544508276681E-1  -3.551096219395E-1  -3.551076034508E-1  -3.551074585649E-1  -3.551074519008E-1  -3.551074515795E-1
  38  -3.465560531153E-1  -3.420533031352E-1  -3.614461791629E-1  -3.459103233478E-1  -3.465578605667E-1  -3.465562067280E-1  -3.465560600321E-1  -3.465560534488E-1  -3.465560531314E-1
  39  -3.381088766742E-1  -3.292868398444E-1  -3.523924595431E-1  -3.374756277400E-1  -3.381103019232E-1  -3.381090343992E-1  -3.381088835062E-1  -3.381088770036E-1  -3.381088766901E-1
  40  -3.297659222667E-1  -3.166308304784E-1  -3.434369730620E-1  -3.291465778571E-1  -3.297669775589E-1  -3.297660770730E-1  -3.297659290139E-1  -3.297659225920E-1  -3.297659222824E-1
  41  -3.215271899195E-1  -3.040899130915E-1  -3.345856326847E-1  -3.209231008675E-1  -3.215279094131E-1  -3.215273410035E-1  -3.215271965819E-1  -3.215271902408E-1  -3.215271899351E-1
