#  n     ΔE_n s10 [a.u.]     ΔE_n s21 [a.u.]     ΔE_n s45 [a.u.]     ΔE_n s97 [a.u.]    ΔE_n s206 [a.u.]    ΔE_n s440 [a.u.]    ΔE_n s938 [a.u.]   ΔE_n s2000 [a.u.]
  36   4.138267343681E-3   1.606380532314E-2   6.657451893045E-4   2.533845546770E-6   1.433279427920E-7   7.086480735552E-9  3.416862348615E-10  1.649286263117E-11
  37   1.813935382711E-4   1.548517269017E-2   6.566238951248E-4   2.170376274535E-6   1.518875737960E-7   7.001666968431E-9  3.375972279507E-10  1.629651968926E-11
  38   4.502749980025E-3   1.489012604768E-2   6.457297674829E-4   1.807451405877E-6   1.536127815505E-7   6.916847761218E-9  3.335086096179E-10  1.609945510239E-11
  39   8.822036829792E-3   1.428358286894E-2   6.332489342429E-4   1.425248978670E-6   1.577249926776E-7   6.832034160631E-9  3.294199912851E-10  1.590716447453E-11
  40   1.313509178822E-2   1.367105079529E-2   6.193444095249E-4   1.055292186247E-6   1.548062867895E-7   6.747215175462E-9  3.253261549041E-10  1.570332752721E-11
  41   1.743727682801E-2   1.305844276513E-2   6.040890520125E-4   7.194935471300E-7   1.510839884311E-7   6.662390805712E-9  3.212377586159E-10  1.550937156480E-11
  42   2.172339908961E-2   1.245192633470E-2   5.875105873352E-4   4.148019357997E-7   1.448515618008E-7   6.577566824539E-9  3.171495288612E-10  1.531480497974E-11
  43   2.598763488170E-2   1.185721144595E-2   5.696610480661E-4   1.046120439718E-7   1.363938119114E-7   6.492754001108E-9  3.130617987068E-10  1.511413216804E-11
  44   3.022346977029E-2   1.127886735022E-2   5.505997031789E-4   2.060664723302E-7   1.304346119446E-7   6.407968489164E-9  3.089740130413E-10  1.491823331534E-11
  45   3.442371429420E-2   1.071978332865E-2   5.304954804372E-4   4.900560122145E-7   1.224895697649E-7   6.323177648149E-9  3.048807872830E-10  1.471600619141E-11
  46   3.858069923998E-2   1.018185325694E-2   5.095677894444E-4   7.428225243244E-7   1.195856104141E-7   6.238293992489E-9  3.007933346844E-10  1.452410414160E-11
  47   4.268671400120E-2   9.666944469275E-3   4.879977051589E-4   9.796070545298E-7   1.156223316534E-7   6.153279163978E-9  2.967057710634E-10  1.432587382055E-11
  48   4.673454862528E-2   9.176838352463E-3   4.659158527252E-4   1.217642347673E-6   1.161306195097E-7   6.068412383708E-9  2.926132114389E-10  1.412697736569E-11
  49   5.071771073695E-2   8.712560916526E-3   4.434282489528E-4   1.435759120094E-6   1.162253811526E-7   5.984114315183E-9  2.885205407921E-10  1.393268833638E-11
  50   5.462992384742E-2   8.274720589503E-3   4.206346895021E-4   1.621582093991E-6   1.186226479266E-7   5.900144539606E-9  2.844335877938E-10  1.373223756929E-11
  51   5.846425226426E-2   7.863877580948E-3   3.975813379639E-4   1.782963610752E-6   1.212102174741E-7   5.815064874071E-9  2.803415277697E-10  1.353112066838E-11
  52   6.221288130536E-2   7.479986526432E-3   3.743080255088E-4   1.933638303253E-6   1.237840310253E-7   5.727682217405E-9  2.762547968160E-10  1.334010679699E-11
  53   6.586766950677E-2   7.122710043964E-3   3.508638995739E-4   2.067363902236E-6   1.262159957105E-7   5.639993638784E-9  2.721628478142E-10  1.314304221012E-11
  54   6.942009209727E-2   6.791445951546E-3   3.273301460565E-4   2.169313748468E-6   1.264218602026E-7   5.557266313794E-9  2.680766164609E-10  1.294522822270E-11
  55   7.286040996444E-2   6.485069412052E-3   3.038230332204E-4   2.244234058091E-6   1.265871828471E-7   5.481803178053E-9  2.639849172592E-10  1.274658156802E-11
  56   7.617765471451E-2   6.202213605204E-3   2.804641106851E-4   2.301540329486E-6   1.247395438053E-7   5.405448533224E-9  2.598934401021E-10  1.254735204625E-11
  57   7.935969522164E-2   5.940989753900E-3   2.573350298529E-4   2.343008705552E-6   1.236846521868E-7   5.313176731914E-9  2.558021572341E-10  1.234728985722E-11
  58   8.239228130399E-2   5.699195142557E-3   2.345143071048E-4   2.357467378755E-6   1.202842586090E-7   5.201317487824E-9  2.517109853883E-10  1.215189060488E-11
  59   8.525872439901E-2   5.474141954229E-3   2.120712050754E-4   2.351145238499E-6   1.167669915758E-7   5.092795130057E-9  2.476253646577E-10  1.195576970758E-11
  60   8.793908814989E-2   5.262876449474E-3   1.900625697595E-4   2.328225722437E-6   1.109559784329E-7   5.023562898998E-9  2.435399659717E-10  1.175898267647E-11
  61   9.040857333015E-2   5.062227650417E-3   1.685269232019E-4   2.290607772237E-6   1.061965629323E-7   5.001464464804E-9  2.394437426112E-10  1.156147400039E-11
  62   9.263569887031E-2   4.869303797824E-3   1.475147065962E-4   2.233032229071E-6   1.009695958509E-7   4.978753798124E-9  2.353587880144E-10  1.136329919049E-11
