#             R [au]           V(R) [eV]         s10(R) [eV]         s21(R) [eV]         s45(R) [eV]         s97(R) [eV]        s206(R) [eV]        s440(R) [eV]        s938(R) [eV]       s2000(R) [eV]
    1.040704070407E0    6.904004992585E1    7.778439359526E1    7.386051552935E1    7.106154494573E1    6.965484307398E1    6.910529745359E1    6.903407272782E1    6.903992854365E1    6.904004977201E1
    1.041804180418E0    6.870496293947E1    7.766496756060E1    7.363544823571E1    7.076223756775E1    6.932101656782E1    6.876421492036E1    6.869964787655E1    6.870485534262E1    6.870496281426E1
    1.042904290429E0    6.837092833011E1    7.754554668599E1    7.341041886207E1    7.046308073130E1    6.898762059051E1    6.842417064056E1    6.836632330109E1    6.837084104882E1    6.837092826829E1
    1.044004400440E0    6.803794317283E1    7.742613110720E1    7.318542840633E1    7.016407839803E1    6.865466647176E1    6.808519193666E1    6.803407860455E1    6.803788005544E1    6.803794317210E1
    1.045104510451E0    6.770600455039E1    7.730672096004E1    7.296047786639E1    6.986523452954E1    6.832216554127E1    6.774730613110E1    6.770289339002E1    6.770596675570E1    6.770600457578E1
    1.046204620462E0    6.737510955329E1    7.718731638029E1    7.273556824013E1    6.956655308745E1    6.799012912876E1    6.741054054635E1    6.737274726058E1    6.737509554280E1    6.737510957997E1
    1.047304730473E0    6.704525527974E1    7.706791750374E1    7.251070052546E1    6.926803803338E1    6.765856856393E1    6.707492250488E1    6.704361981934E1    6.704526082800E1    6.704525529857E1
    1.048404840484E0    6.671643883562E1    7.694852446618E1    7.228587572026E1    6.896969332896E1    6.732749517648E1    6.674047932912E1    6.671549066938E1    6.671645826533E1    6.671643884550E1
    1.049504950495E0    6.638865733445E1    7.682913740341E1    7.206109482244E1    6.867152293580E1    6.699692029612E1    6.640723834156E1    6.638833941381E1    6.638868553298E1    6.638865733467E1
    1.050605060506E0    6.606190789744E1    7.670975645121E1    7.183635882988E1    6.837353081553E1    6.666685525256E1    6.607522686464E1    6.606214598627E1    6.606194049518E1    6.606190788442E1
    1.051705170517E0    6.573618765337E1    7.659038174537E1    7.161166874049E1    6.807572092975E1    6.633731137551E1    6.574447222082E1    6.573690023858E1    6.573622101619E1    6.573618763186E1
    1.052805280528E0    6.541149373865E1    7.647101342168E1    7.138702555215E1    6.777809724010E1    6.600829999466E1    6.541500173256E1    6.541260342854E1    6.541152496026E1    6.541149371903E1
    1.053905390539E0    6.508782329727E1    7.635165161595E1    7.116243026277E1    6.748066370819E1    6.567983243974E1    6.508684265054E1    6.508925744383E1    6.508785019163E1    6.508782328797E1
    1.055005500550E0    6.476517348078E1    7.623229646394E1    7.093788387023E1    6.718342429564E1    6.535192004044E1    6.476001085005E1    6.476686417213E1    6.476519457456E1    6.476517348071E1
    1.056105610561E0    6.444354144826E1    7.611294810147E1    7.071338737243E1    6.688638296407E1    6.502457412647E1    6.443449849541E1    6.444542550113E1    6.444355597330E1    6.444354144563E1
    1.057205720572E0    6.412292436633E1    7.599360666430E1    7.048894176728E1    6.658954367510E1    6.469780602754E1    6.411029478636E1    6.412494331851E1    6.412293225210E1    6.412292435793E1
    1.058305830583E0    6.380331940911E1    7.587427228825E1    7.026454805265E1    6.629291039035E1    6.437162707335E1    6.378738892264E1    6.380541951195E1    6.380332127520E1    6.380331939998E1
    1.059405940594E0    6.348472375819E1    7.575494510909E1    7.004020722645E1    6.599648707144E1    6.404604859361E1    6.346577010397E1    6.348685596916E1    6.348472087006E1    6.348472375410E1
    1.060506050605E0    6.316713460264E1    7.563562526263E1    6.981592028657E1    6.570027767998E1    6.372108191803E1    6.314542753010E1    6.316925457779E1    6.316712839826E1    6.316713460266E1
